LEANumber,SchoolNumber,SORXREF_DESC,SORXREF_EDI_VALUE,SORXREF_BANNER_VALUE,SORXREF_XLBL_CODE,SORXREF_EDI_STANDARD_IND,SORXREF_DISP_WEB_IND,SORXREF_PESC_XML_IND,SORXREF_ACTIVITY_DATE
A5,700,ITINERIS EARLY COLLEGE HIGH,A5-700,450452,STVSBGI,Y,N,N,4/13/2017
41,421,JEAN MASSIEU SCHOOL FOR THE DEAF,41-421,,STVSBGI,Y,N,N,4/13/2017
14,744,JORDAN ACADEMY FOR TECHNOLOGY & CAREERS SOUTH,14-744,,STVSBGI,Y,N,N,4/13/2017
14,741,JORDAN ACADEMY FOR TECHNOLOGY AND CAREERS - NORTH,14-741,,STVSBGI,Y,N,N,4/13/2017
42,708,JORDAN HIGH,42-708,450405,STVSBGI,Y,N,N,4/13/2017
42,810,JORDAN VALLEY SCHOOL,42-810,,STVSBGI,Y,N,N,4/13/2017
15,704,JUAB HIGH,15-704,450240,STVSBGI,Y,N,N,4/13/2017
4J,700,KAIROS ACADEMY,4J-700,,STVSBGI,Y,N,N,4/13/2017
16,704,KANAB HIGH,16-704,450150,STVSBGI,Y,N,N,4/13/2017
2E,700,KARL G MAESER PREPARATORY ACADEMY,2E-700,450153,STVSBGI,Y,N,N,4/13/2017
14,830,KAURI SUE HAMILTON,14-830,,STVSBGI,Y,N,N,4/13/2017
12,714,KEARNS HIGH,12-714,450158,STVSBGI,Y,N,N,4/13/2017
16,714,LAKE POWELL HIGH SCHOOL,16-714,450422,STVSBGI,Y,N,N,4/13/2017
19,720,LANDMARK HIGH,19-720,450409,STVSBGI,Y,N,N,4/13/2017
07,710,LAYTON HIGH,07-710,450163,STVSBGI,Y,N,N,4/13/2017
01,708,LEHI HIGH,01-708,450165,STVSBGI,Y,N,N,4/13/2017
05,760,LIGHTHOUSE HIGH,05-760,450294,STVSBGI,Y,N,N,4/13/2017
39,704,LOGAN HIGH,39-704,450170,STVSBGI,Y,N,N,4/13/2017
01,709,LONE PEAK HIGH,01-709,450129,STVSBGI,Y,N,N,4/13/2017
9J,300,LUMEN SCHOLAR INSTITUTE,9J-300,,STVSBGI,Y,N,N,4/13/2017
4I,700,MANA ACADEMY CHARTER SCHOOL,4I-700,AH0029,STVSBGI,Y,N,N,4/13/2017
06,704,MANILA HIGH,06-704,450180,STVSBGI,Y,N,N,4/13/2017
27,708,MANTI HIGH,27-708,450185,STVSBGI,Y,N,N,4/13/2017
19,702,MAPLE MOUNTAIN HIGH,19-702,450423,STVSBGI,Y,N,N,4/13/2017
8E,700,MERIT COLLEGE PREPARATORY ACADEMY,8E-700,450426,STVSBGI,Y,N,N,4/13/2017
02,708,MILFORD HIGH,02-708,450195,STVSBGI,Y,N,N,4/13/2017
17,708,MILLARD HIGH,17-708,450105,STVSBGI,Y,N,N,4/13/2017
33,718,MILLCREEK HIGH,33-718,450444,STVSBGI,Y,N,N,4/13/2017
